experiment_id,pair_id,history_member,state_generation_experiment_id,target_id,actual_delay_steps,actual_slew_scale,horizon_steps,environment_success,failure_reason,fresh_controller,fresh_tsc_process,initial_restart_visible_exact,initial_restart_wire_exact,initial_restart_exact,controller_trace_causal,controller_trace_row_count,forbidden_future_paths,future_action_replay_used,future_measurement_used,hidden_wire_available_to_controller,online_action_computation,formal_contract_pass,formal_minimum_signed_margin,formal_best_arrival_ms,failure_class,passed,reference_phase_start,phase_trace_valid,task_clock_starts_at_zero,reference_phase_monotonic,reference_phase_exact,model_phase_exact,phase_hidden_wire_trace_count,phase_source_action_trace_count,phase_source_coil_current_trace_count,phase_source_wire_current_trace_count,phase_current_run_future_trace_count,visible_reference_manifold_exact,formal_clock_shifted,development_set_only,phase_selection_or_transition_design_failure
s42r3c1_0ac739d9f630903c706a,p5_q2_a0p900_gap2_settle4,plus_first,s42r3b_91d4477b58f016a062bf,nominal,2,0.9,37,True,,True,True,True,True,True,True,37,[],False,False,False,True,False,-0.07035040000000126,270,real_closed_loop_formal_control_failure,False,12,True,True,True,True,True,0,0,0,0,0,True,False,True,False
s42r3c1_0d7fa08f0caa5920c57b,p5_q1_a0p900_gap2_settle4,minus_first,s42r3b_58701a99165df704aa4d,nominal,2,0.9,37,True,,True,True,True,True,True,True,37,[],False,False,False,True,False,-0.06807509999999883,180,real_closed_loop_formal_control_failure,False,12,True,True,True,True,True,0,0,0,0,0,True,False,True,False
s42r3c1_0e2bd794a950e79d21a3,p5_q1_a0p900_gap2_settle4,minus_first,s42r3b_58701a99165df704aa4d,RZ_p10_m10,0,1.0,35,True,,True,True,True,True,True,True,35,[],False,False,False,True,False,-0.243146444819885,200,real_closed_loop_formal_control_failure,False,11,True,True,True,True,True,0,0,0,0,0,True,False,True,False
s42r3c1_1158eec2af85a1687c50,p9_q1_a0p750_gap2_settle4,minus_first,s42r3b_4b608db7a281e5e3ca9a,nominal,2,0.9,37,False,ValueError('terminal feedback requires at least two trajectory states'),False,False,,,False,False,,,,,,,False,,,runtime_or_environment_error,False,,False,False,False,False,False,0,0,0,0,0,False,True,True,True
s42r3c1_1bb453c126bcacb47dcd,p5_q1_a0p900_gap2_settle4,plus_first,s42r3b_46ca1104e9f7129c703b,nominal,2,0.9,37,True,,True,True,True,True,True,True,37,[],False,False,False,True,False,-0.06805383333333426,270,real_closed_loop_formal_control_failure,False,12,True,True,True,True,True,0,0,0,0,0,True,False,True,False
s42r3c1_1be965d393046a0768a8,p9_q2_a0p750_gap2_settle4,plus_first,s42r3b_aadc869b24c2e3d79a3f,nominal,0,1.0,35,True,,True,True,True,True,True,True,35,[],False,False,False,True,True,0.10281705403080599,140,,True,13,True,True,True,True,True,0,0,0,0,0,True,False,True,False
s42r3c1_2bdc1887560b3886a227,p9_q1_a0p750_gap2_settle4,minus_first,s42r3b_4b608db7a281e5e3ca9a,RZ_p10_m10,0,1.0,35,True,,True,True,True,True,True,True,35,[],False,False,False,True,True,0.012413308956406133,180,,True,12,True,True,True,True,True,0,0,0,0,0,True,False,True,False
s42r3c1_2cc0b6a039c298ff0eb6,p9_q1_a0p750_gap2_settle4,plus_first,s42r3b_03abcc6378f04ba5be30,RZ_p10_m10,2,0.9,37,True,,True,True,True,True,True,True,37,[],False,False,False,True,False,-0.0783567333333337,260,real_closed_loop_formal_control_failure,False,14,True,True,True,True,True,0,0,0,0,0,True,False,True,False
s42r3c1_3f285839dc63859020d5,p5_q2_a0p900_gap2_settle4,minus_first,s42r3b_602862b213b27d9ab02f,RZ_p10_m10,2,0.9,37,True,,True,True,True,True,True,True,37,[],False,False,False,True,False,-0.3612697000000007,270,real_closed_loop_formal_control_failure,False,12,True,True,True,True,True,0,0,0,0,0,True,False,True,False
s42r3c1_40fb68b1a495bbc3dade,p9_q2_a0p750_gap2_settle4,plus_first,s42r3b_aadc869b24c2e3d79a3f,RZ_p10_m10,2,0.9,37,True,,True,True,True,True,True,True,37,[],False,False,False,True,False,-0.0795059666666682,260,real_closed_loop_formal_control_failure,False,14,True,True,True,True,True,0,0,0,0,0,True,False,True,False
