experiment_id,pair_id,history_member,state_generation_experiment_id,target_id,actual_delay_steps,actual_slew_scale,horizon_steps,environment_success,failure_reason,fresh_controller,fresh_tsc_process,initial_restart_visible_exact,initial_restart_wire_exact,initial_restart_exact,controller_trace_causal,controller_trace_row_count,forbidden_future_paths,future_action_replay_used,future_measurement_used,hidden_wire_available_to_controller,online_action_computation,formal_contract_pass,formal_minimum_signed_margin,formal_best_arrival_ms,failure_class,passed
s42r3b_04882b57906137e1ef2b,p9_q2_a0p750_gap2_settle4,minus_first,s42r3b_619f6b416158dade3311,nominal,0,1.0,35,True,,True,True,True,True,True,True,35,[],False,False,False,True,False,-4.3353459,250,real_closed_loop_formal_control_failure,False
s42r3b_09154923f88137c784cd,p5_q1_a0p900_gap2_settle4,minus_first,s42r3b_58701a99165df704aa4d,RZ_p10_m10,2,0.9,37,True,,True,True,True,True,True,True,37,[],False,False,False,True,False,-6.138464666666667,270,real_closed_loop_formal_control_failure,False
s42r3b_1637a293a5604627069a,p9_q1_a0p750_gap2_settle4,minus_first,s42r3b_4b608db7a281e5e3ca9a,nominal,0,1.0,35,True,,True,True,True,True,True,True,35,[],False,False,False,True,False,-4.340348100000001,250,real_closed_loop_formal_control_failure,False
s42r3b_22bbada6ee226d68191d,p5_q1_a0p900_gap2_settle4,minus_first,s42r3b_58701a99165df704aa4d,nominal,0,1.0,35,True,,True,True,True,True,True,True,35,[],False,False,False,True,False,-6.3918311333333335,250,real_closed_loop_formal_control_failure,False
s42r3b_22be90c70c8cd4be5260,p5_q2_a0p900_gap2_settle4,minus_first,s42r3b_602862b213b27d9ab02f,nominal,0,1.0,35,True,,True,True,True,True,True,True,35,[],False,False,False,True,False,-6.392828333333334,250,real_closed_loop_formal_control_failure,False
s42r3b_23dd2b22c3d8b94608cf,p5_q1_a0p900_gap2_settle4,minus_first,s42r3b_58701a99165df704aa4d,nominal,2,0.9,37,True,,True,True,True,True,True,True,37,[],False,False,False,True,False,-6.4371392,270,real_closed_loop_formal_control_failure,False
s42r3b_2650b2275b207dd36f88,p5_q2_a0p900_gap2_settle4,plus_first,s42r3b_91d4477b58f016a062bf,RZ_p10_m10,2,0.9,37,True,,True,True,True,True,True,True,37,[],False,False,False,True,False,-6.149399033333333,270,real_closed_loop_formal_control_failure,False
s42r3b_29d8b6135ca69e803363,p5_q2_a0p900_gap2_settle4,minus_first,s42r3b_602862b213b27d9ab02f,nominal,2,0.9,37,True,,True,True,True,True,True,True,37,[],False,False,False,True,False,-6.433347666666667,270,real_closed_loop_formal_control_failure,False
s42r3b_3eb0747340d879145ddf,p5_q2_a0p900_gap2_settle4,plus_first,s42r3b_91d4477b58f016a062bf,RZ_p10_m10,0,1.0,35,True,,True,True,True,True,True,True,35,[],False,False,False,True,False,-6.161171499999999,250,real_closed_loop_formal_control_failure,False
s42r3b_4af7201aaa5b946af795,p9_q2_a0p750_gap2_settle4,plus_first,s42r3b_aadc869b24c2e3d79a3f,RZ_p10_m10,2,0.9,37,True,,True,True,True,True,True,True,37,[],False,False,False,True,False,-3.9609365333333333,270,real_closed_loop_formal_control_failure,False
s42r3b_53b03c15f3a4c55ab8be,p5_q1_a0p900_gap2_settle4,plus_first,s42r3b_46ca1104e9f7129c703b,RZ_p10_m10,0,1.0,35,True,,True,True,True,True,True,True,35,[],False,False,False,True,False,-6.1574279,250,real_closed_loop_formal_control_failure,False
s42r3b_542e8e13d02f9dccd0d8,p5_q2_a0p900_gap2_settle4,plus_first,s42r3b_91d4477b58f016a062bf,nominal,2,0.9,37,True,,True,True,True,True,True,True,37,[],False,False,False,True,False,-6.447296,270,real_closed_loop_formal_control_failure,False
s42r3b_618700e736665b88613d,p9_q1_a0p750_gap2_settle4,minus_first,s42r3b_4b608db7a281e5e3ca9a,RZ_p10_m10,2,0.9,37,True,,True,True,True,True,True,True,37,[],False,False,False,True,False,-3.9690047333333327,270,real_closed_loop_formal_control_failure,False
s42r3b_63f64a5a1dbc1d75321b,p5_q2_a0p900_gap2_settle4,minus_first,s42r3b_602862b213b27d9ab02f,RZ_p10_m10,2,0.9,37,True,,True,True,True,True,True,True,37,[],False,False,False,True,False,-6.133699,270,real_closed_loop_formal_control_failure,False
s42r3b_64e6da8be8e97bd7540d,p9_q1_a0p750_gap2_settle4,plus_first,s42r3b_03abcc6378f04ba5be30,RZ_p10_m10,0,1.0,35,True,,True,True,True,True,True,True,35,[],False,False,False,True,False,-4.169094833333333,250,real_closed_loop_formal_control_failure,False
s42r3b_68866b78ee4de54403a2,p9_q2_a0p750_gap2_settle4,minus_first,s42r3b_619f6b416158dade3311,nominal,2,0.9,37,True,,True,True,True,True,True,True,37,[],False,False,False,True,False,-4.206141033333334,270,real_closed_loop_formal_control_failure,False
s42r3b_895856480c5963ebcfaf,p9_q2_a0p750_gap2_settle4,minus_first,s42r3b_619f6b416158dade3311,RZ_p10_m10,2,0.9,37,True,,True,True,True,True,True,True,37,[],False,False,False,True,False,-3.970348433333333,270,real_closed_loop_formal_control_failure,False
s42r3b_8f4c5c5598d5d12a86fb,p9_q1_a0p750_gap2_settle4,minus_first,s42r3b_4b608db7a281e5e3ca9a,nominal,2,0.9,37,True,,True,True,True,True,True,True,37,[],False,False,False,True,False,-4.211239166666667,270,real_closed_loop_formal_control_failure,False
s42r3b_94f2e91a74b49514e0be,p5_q2_a0p900_gap2_settle4,plus_first,s42r3b_91d4477b58f016a062bf,nominal,0,1.0,35,True,,True,True,True,True,True,True,35,[],False,False,False,True,False,-6.3974541,250,real_closed_loop_formal_control_failure,False
s42r3b_a8192ffd9cc19da804a6,p9_q2_a0p750_gap2_settle4,minus_first,s42r3b_619f6b416158dade3311,RZ_p10_m10,0,1.0,35,True,,True,True,True,True,True,True,35,[],False,False,False,True,False,-4.154192633333333,250,real_closed_loop_formal_control_failure,False
s42r3b_af90ca028e780b114a8f,p9_q1_a0p750_gap2_settle4,minus_first,s42r3b_4b608db7a281e5e3ca9a,RZ_p10_m10,0,1.0,35,True,,True,True,True,True,True,True,35,[],False,False,False,True,False,-4.160780033333333,250,real_closed_loop_formal_control_failure,False
s42r3b_b27732abfc8507145da6,p5_q1_a0p900_gap2_settle4,plus_first,s42r3b_46ca1104e9f7129c703b,RZ_p10_m10,2,0.9,37,True,,True,True,True,True,True,True,37,[],False,False,False,True,False,-6.1448433,270,real_closed_loop_formal_control_failure,False
s42r3b_b445c3a8aad8d90891f9,p9_q2_a0p750_gap2_settle4,plus_first,s42r3b_aadc869b24c2e3d79a3f,nominal,2,0.9,37,True,,True,True,True,True,True,True,37,[],False,False,False,True,False,-4.219604966666667,270,real_closed_loop_formal_control_failure,False
s42r3b_b7303e7bfc73ef683f30,p9_q1_a0p750_gap2_settle4,plus_first,s42r3b_03abcc6378f04ba5be30,RZ_p10_m10,2,0.9,37,True,,True,True,True,True,True,True,37,[],False,False,False,True,False,-3.960849033333333,270,real_closed_loop_formal_control_failure,False
s42r3b_ba03409284df41e3eb35,p9_q2_a0p750_gap2_settle4,plus_first,s42r3b_aadc869b24c2e3d79a3f,RZ_p10_m10,0,1.0,35,True,,True,True,True,True,True,True,35,[],False,False,False,True,False,-4.169551766666666,250,real_closed_loop_formal_control_failure,False
s42r3b_dbe237adbc9e3a7cd65c,p5_q1_a0p900_gap2_settle4,plus_first,s42r3b_46ca1104e9f7129c703b,nominal,2,0.9,37,True,,True,True,True,True,True,True,37,[],False,False,False,True,False,-6.442448833333334,270,real_closed_loop_formal_control_failure,False
s42r3b_de9a5d39f6a3382df055,p9_q1_a0p750_gap2_settle4,plus_first,s42r3b_03abcc6378f04ba5be30,nominal,0,1.0,35,True,,True,True,True,True,True,True,35,[],False,False,False,True,False,-4.348210433333334,250,real_closed_loop_formal_control_failure,False
s42r3b_e80339836f87e741f4e5,p5_q2_a0p900_gap2_settle4,minus_first,s42r3b_602862b213b27d9ab02f,RZ_p10_m10,0,1.0,35,True,,True,True,True,True,True,True,35,[],False,False,False,True,False,-6.1532835666666665,250,real_closed_loop_formal_control_failure,False
s42r3b_ecae945384dabc20fb83,p9_q1_a0p750_gap2_settle4,plus_first,s42r3b_03abcc6378f04ba5be30,nominal,2,0.9,37,True,,True,True,True,True,True,True,37,[],False,False,False,True,False,-4.220545400000001,270,real_closed_loop_formal_control_failure,False
s42r3b_ed941a464b2109b7839b,p9_q2_a0p750_gap2_settle4,plus_first,s42r3b_aadc869b24c2e3d79a3f,nominal,0,1.0,35,True,,True,True,True,True,True,True,35,[],False,False,False,True,False,-4.348783133333334,250,real_closed_loop_formal_control_failure,False
