experiment_id,pair_id,history_member,state_generation_experiment_id,target_id,actual_delay_steps,actual_slew_scale,horizon_steps,environment_success,failure_reason,fresh_controller,fresh_tsc_process,initial_restart_visible_exact,initial_restart_wire_exact,initial_restart_exact,controller_trace_causal,controller_trace_row_count,forbidden_future_paths,future_action_replay_used,future_measurement_used,hidden_wire_available_to_controller,online_action_computation,formal_contract_pass,formal_minimum_signed_margin,formal_best_arrival_ms,failure_class,passed,reference_phase_start,phase_trace_valid,task_clock_starts_at_zero,reference_phase_monotonic,reference_phase_exact,model_phase_exact,phase_hidden_wire_trace_count,formal_clock_shifted,development_set_only,phase_selection_or_transition_design_failure
s42r3c_106c7784f1f7fe46145e,p9_q2_a0p750_gap2_settle4,minus_first,s42r3b_619f6b416158dade3311,RZ_p10_m10,0,1.0,35,True,,True,True,True,True,True,True,35,[],False,False,False,True,True,0.014148986053374446,180,,True,12,True,True,True,True,True,0,False,True,False
s42r3c_122e7788dabe836407e3,p9_q2_a0p750_gap2_settle4,plus_first,s42r3b_aadc869b24c2e3d79a3f,RZ_p10_m10,0,1.0,35,True,,True,True,True,True,True,True,35,[],False,False,False,True,True,0.032832263333333334,200,,True,12,True,True,True,True,True,0,False,True,False
s42r3c_15ed97a3a14253d1fd54,p5_q1_a0p900_gap2_settle4,minus_first,s42r3b_58701a99165df704aa4d,RZ_p10_m10,0,1.0,35,True,,True,True,True,True,True,True,35,[],False,False,False,True,False,-0.243146444819885,200,real_closed_loop_formal_control_failure,False,11,True,True,True,True,True,0,False,True,False
s42r3c_215b24c0f9f29eea0704,p9_q1_a0p750_gap2_settle4,minus_first,s42r3b_4b608db7a281e5e3ca9a,RZ_p10_m10,2,0.9,37,True,,True,True,True,True,True,True,37,[],False,False,False,True,True,0.04718293333333312,240,,True,12,True,True,True,True,True,0,False,True,False
s42r3c_239ee05d6cd868eaa129,p5_q1_a0p900_gap2_settle4,minus_first,s42r3b_58701a99165df704aa4d,nominal,2,0.9,37,True,,True,True,True,True,True,True,37,[],False,False,False,True,False,-0.06807509999999883,180,real_closed_loop_formal_control_failure,False,12,True,True,True,True,True,0,False,True,False
s42r3c_26d2b94cd61d7987c8ae,p9_q1_a0p750_gap2_settle4,minus_first,s42r3b_4b608db7a281e5e3ca9a,nominal,2,0.9,37,True,,True,True,True,True,True,True,37,[],False,False,False,True,True,0.23237029999999825,270,,True,13,True,True,True,True,True,0,False,True,False
s42r3c_36b8e4dcae6765c43cb4,p9_q2_a0p750_gap2_settle4,plus_first,s42r3b_aadc869b24c2e3d79a3f,nominal,2,0.9,37,True,,True,True,True,True,True,True,37,[],False,False,False,True,True,0.23412403333333365,270,,True,13,True,True,True,True,True,0,False,True,False
s42r3c_3d891ca130ebd6ec937d,p9_q2_a0p750_gap2_settle4,minus_first,s42r3b_619f6b416158dade3311,nominal,2,0.9,37,True,,True,True,True,True,True,True,37,[],False,False,False,True,True,0.23395343333333285,270,,True,13,True,True,True,True,True,0,False,True,False
s42r3c_49860079666bd59dce02,p9_q1_a0p750_gap2_settle4,plus_first,s42r3b_03abcc6378f04ba5be30,nominal,2,0.9,37,True,,True,True,True,True,True,True,37,[],False,False,False,True,True,0.23441203333333382,270,,True,13,True,True,True,True,True,0,False,True,False
s42r3c_4d241634d34c9f628461,p5_q1_a0p900_gap2_settle4,minus_first,s42r3b_58701a99165df704aa4d,RZ_p10_m10,2,0.9,37,True,,True,True,True,True,True,True,37,[],False,False,False,True,False,-0.21702280000000052,260,real_closed_loop_formal_control_failure,False,11,True,True,True,True,True,0,False,True,False
s42r3c_4dc253870a6118d13f78,p9_q2_a0p750_gap2_settle4,minus_first,s42r3b_619f6b416158dade3311,nominal,0,1.0,35,True,,True,True,True,True,True,True,35,[],False,False,False,True,True,0.10182991651436057,140,,True,13,True,True,True,True,True,0,False,True,False
s42r3c_56fd8484a5195744072d,p5_q1_a0p900_gap2_settle4,plus_first,s42r3b_46ca1104e9f7129c703b,nominal,2,0.9,37,True,,True,True,True,True,True,True,37,[],False,False,False,True,False,-0.06805383333333426,270,real_closed_loop_formal_control_failure,False,12,True,True,True,True,True,0,False,True,False
s42r3c_58a1753867acadd43364,p5_q2_a0p900_gap2_settle4,minus_first,s42r3b_602862b213b27d9ab02f,nominal,2,0.9,37,True,,True,True,True,True,True,True,37,[],False,False,False,True,False,-0.06721223333333315,180,real_closed_loop_formal_control_failure,False,12,True,True,True,True,True,0,False,True,False
